1 7
1 37
1 57
1 88
2 8
2 16
2 50
2 72
3 22
3 29
3 37
3 45
4 8
4 26
4 68
4 72
5 22
5 33
5 56
5 76
6 22
6 74
6 85
6 91
7 44
7 52
7 70
7 99
8 2
8 20
8 30
8 65
9 34
9 44
9 62
9 95
10 14
10 26
10 69
10 100
11 20
11 32
11 72
11 87
12 2
12 14
12 52
12 69
13 23
13 33
13 36
13 71
14 10
14 27
14 66
14 94
15 11
15 16
15 59
15 86
16 30
16 41
16 55
16 69
17 34
17 51
17 53
17 95
18 47
18 61
18 68
18 95
19 9
19 43
19 88
19 99
20 11
20 40
20 59
20 86
21 22
21 23
21 57
21 84
22 3
22 21
22 24
22 93
23 13
23 21
23 27
23 71
24 13
24 22
24 64
24 66
25 21
25 76
25 90
25 96
26 4
26 30
26 41
26 65
27 14
27 23
27 57
27 100
28 7
28 37
28 88
28 93
29 21
29 22
29 25
29 45
30 8
30 11
30 26
30 86
31 14
31 40
31 59
31 84
32 17
32 47
32 55
32 67
33 13
33 45
33 57
33 84
34 9
34 17
34 46
34 53
35 46
35 58
35 70
35 99
36 13
36 23
36 45
36 57
37 1
37 23
37 28
37 57
38 35
38 65
38 72
38 95
39 43
39 52
39 70
39 79
40 20
40 78
40 94
40 98
41 16
41 26
41 42
41 92
42 41
42 78
42 82
42 84
43 35
43 39
43 75
43 83
44 9
44 76
44 83
44 91
45 73
45 78
45 84
45 94
46 32
46 50
46 51
46 53
47 18
47 51
47 58
47 75
48 8
48 10
48 26
48 98
49 6
49 25
49 91
49 93
50 15
50 32
50 55
50 63
51 46
51 47
51 61
51 67
52 7
52 12
52 39
52 92
53 18
53 46
53 61
53 75
54 22
54 49
54 60
54 74
55 16
55 59
55 86
55 98
56 7
56 88
56 92
56 99
57 21
57 27
57 37
57 71
58 39
58 47
58 61
58 95
59 10
59 20
59 31
59 82
60 62
60 76
60 81
60 93
61 32
61 51
61 58
61 75
62 17
62 46
62 53
62 91
63 49
63 50
63 80
63 84
64 7
64 22
64 88
64 93
65 2
65 4
65 8
65 26
66 13
66 14
66 33
66 92
67 46
67 51
67 75
67 89
68 2
68 30
68 38
68 65
69 8
69 10
69 16
69 26
70 7
70 35
70 39
70 99
71 13
71 23
71 57
71 97
72 2
72 8
72 11
72 68
73 21
73 22
73 29
73 45
74 6
74 34
74 62
74 81
75 43
75 46
75 53
75 61
76 22
76 25
76 44
76 85
77 8
77 10
77 26
77 98
78 40
78 42
78 45
78 82
79 7
79 88
79 92
79 99
80 7
80 35
80 39
80 88
81 74
81 85
81 91
81 99
82 42
82 59
82 97
82 98
83 44
83 85
83 88
83 95
84 23
84 33
84 42
84 45
85 60
85 75
85 81
85 83
86 15
86 20
86 50
86 55
87 2
87 4
87 16
87 72
88 19
88 70
88 80
88 99
89 35
89 43
89 67
89 68
90 21
90 22
90 25
90 29
91 6
91 34
91 44
91 60
92 14
92 56
92 66
92 70
93 28
93 49
93 64
93 91
94 14
94 40
94 42
94 84
95 9
95 18
95 68
95 99
96 21
96 22
96 25
96 29
97 36
97 71
97 82
97 84
98 11
98 16
98 42
98 82
99 7
99 9
99 35
99 95
100 12
100 36
100 48
100 77
