vertex-id,vertex-x,vertex-y,vertex-z
1,0.0810541606042534,0.591748721897602,A
2,0.766697761369869,0.504516780842096,A
3,0.176163531839848,0.82792157609947,B
4,0.783530201530084,0.462263235589489,A
5,0.374465084634721,0.576197966467589,B
6,0.0697317949961871,0.362259041983634,B
7,0.312175440602005,0.415522383758798,A
8,0.873249212512746,0.636810126015916,A
9,0.401318290736526,0.0730373279657215,A
10,0.654411894269288,0.741148076485842,A
11,0.928037719801068,0.478422261541709,B
12,0.630867015104741,0.69621745031327,A
13,0.217540735844523,0.935345153091475,A
14,0.544963281834498,0.91702093440108,A
15,0.867248942144215,0.631824759766459,B
16,0.890420033363625,0.681803810643032,A
17,0.698742661857978,0.149370763916522,B
18,0.754669128684327,0.0187504286877811,A
19,0.264198724878952,0.157994951820001,A
20,0.928330118302256,0.677500374382362,B
21,0.27473858371377,0.726628849515691,B
22,0.0781750017777085,0.640390829415992,B
23,0.346807268448174,0.767849473515525,A
24,0.181607321370393,0.668815241660923,A
25,0.0862470206338912,0.591101012891158,B
26,0.822950746165588,0.632070017280057,A
27,0.382017179159448,0.997795762727037,A
28,0.0563183713238686,0.580379679100588,A
29,0.00280409841798246,0.98745015473105,B
30,0.864192679757252,0.471994163701311,A
31,0.606613647658378,0.8625804472249,B
32,0.924508981173858,0.310766404727474,B
33,0.256081172265112,0.862607641844079,B
34,0.474026324460283,0.120357849635184,B
35,0.621747158234939,0.2552936791908,A
36,0.438365069683641,0.941256994148716,A
37,0.0945170184131712,0.811161965830252,A
38,0.912769960006699,0.119178851600736,A
39,0.595522346440703,0.286453655455261,A
40,0.77040296443738,0.857458486920223,B
41,0.712292825803161,0.779032305115834,A
42,0.668265494285151,0.720021232264116,B
43,0.482155335601419,0.125818164087832,A
44,0.178298246813938,0.241588415112346,A
45,0.382678721798584,0.965090519515797,B
46,0.704319820506498,0.214818992419168,B
47,0.793344894656911,0.097776988055557,B
48,0.930830789031461,0.90157594694756,A
49,0.296564562246203,0.415977050783113,B
50,0.716974358772859,0.442657364299521,B
51,0.561168916523457,0.0449503674171865,B
52,0.528601900674403,0.486519033322111,A
53,0.671568614430726,0.00496227224357426,B
54,0.0309601516928524,0.331353667192161,B
55,0.905970114981756,0.607275851536542,B
56,0.428526573814452,0.483055646065623,A
57,0.309127648361027,0.801671347813681,A
58,0.82052199402824,0.187724319053814,A
59,0.743963527027518,0.735702231060714,B
60,0.0344407209195197,0.00176137080416083,B
61,0.753068453632295,0.146888352697715,B
62,0.464273947989568,0.137849323218688,B
63,0.463246520143002,0.487679915968329,B
64,0.00524857896380126,0.542346178786829,A
65,0.921604037517682,0.457473527872935,A
66,0.363873193273321,0.847493384499103,A
67,0.79730214830488,0.062969186110422,B
68,0.76042040460743,0.279162171296775,A
69,0.817871831357479,0.850916663650423,A
70,0.51304662716575,0.453252645209432,A
71,0.413471705280244,0.966583984205499,A
72,0.970031838631257,0.423913155915216,A
73,0.15696498984471,0.931577129522339,B
74,0.0975095948670059,0.0457224708516151,B
75,0.557502123061568,0.143980198539793,B
76,0.140252709155902,0.357832623645663,B
77,0.903592605143785,0.909394901245832,A
78,0.52744961483404,0.873833098681644,B
79,0.443748135818169,0.468772186432034,A
80,0.480278216535226,0.392742726020515,A
81,0.225689228158444,0.0041969595476985,A
82,0.69112471328117,0.905461675487459,B
83,0.332022164249793,0.0235707280226052,A
84,0.458440804155543,0.752599525498226,B
85,0.275390446651727,0.0997724356129766,B
86,0.893782102270052,0.431977215688676,B
87,0.908333313651383,0.558087864425033,A
88,0.284189014462754,0.385328970616683,A
89,0.725906199775636,0.0306705369148403,A
90,0.136983863543719,0.823580496245995,B
91,0.222742913058028,0.156542798737064,B
92,0.532027863431722,0.687476041959599,A
93,0.0426017558202147,0.430911654606462,B
94,0.575806345324963,0.990598525153473,B
95,0.591004462214187,0.140447368612513,A
96,0.149117164779454,0.835423237411305,B
97,0.508266665274277,0.946624014759436,B
98,0.916606783866882,0.765618012519553,B
99,0.417687882203609,0.257939397357404,A
100,0.704751773737371,0.93124712118879,A
